created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 14 06:29:44 +0000 2024;1,75765E+18;Cek [TASYA FARASYA APPROVED] SOMETHINC Calm Down! Skinpair R-Cover Cream Moisturizer - (Madagascar Centella Asiatica, Skin Barrier, Kulit Sensitif, Kulit Iritasi) dengan harga Rp103.200. Dapatkan di Shopee sekarang! https://t.co/gh0GcmzjID https://t.co/CZjmwC5lpc;0;0;0;0;in;138309608;1,75765E+18;PathitZhy;https://twitter.com/PathitZhy/status/1757653330225213796
Wed Feb 14 06:24:11 +0000 2024;1,75765E+18;@quanruir ketua kpps nya tasya farasya wakakak;0;0;0;0;in;1,22686E+18;1,75763E+18;greatpIotter;https://twitter.com/greatpIotter/status/1757651935157719394
Wed Feb 14 05:53:15 +0000 2024;1,75764E+18;tasya farasya approve https://t.co/iNogvMTmog;0;0;0;0;in;1,67961E+18;1,75764E+18;amadiccted;https://twitter.com/amadiccted/status/1757644151922008540
Wed Feb 14 05:37:34 +0000 2024;1,75764E+18;Tiba-tiba kepikiran kapan ya tasya farasya ngeluarin powder foundation 👀;0;0;0;0;in;1,36664E+18;1,75764E+18;kaazedaaa;https://twitter.com/kaazedaaa/status/1757640203626492023
Wed Feb 14 03:53:44 +0000 2024;1,75761E+18;KITA USAHAKAN PUNYA SUAMI KAYA AHMAD NYA TASYA FARASYA YANG LG ANNIV SELALU KASIH SURPRISE KE MEMONG;0;0;0;0;in;1,13196E+18;1,75761E+18;bekantanceria;https://twitter.com/bekantanceria/status/1757614073276248113
Wed Feb 14 02:06:10 +0000 2024;1,75759E+18;woy tasya farasya kok bs nyelupin jarinya rapih?????;0;1;0;0;in;1,14965E+18;1,75759E+18;tigernyong;https://twitter.com/tigernyong/status/1757587002340626848
Wed Feb 14 01:43:10 +0000 2024;1,75758E+18;@kimragill @hooman0118 @MafiaWasit betul zize rachel vennya sama lula timsesnya gibran, mereka lupa rekrut tasya farasya padahal ‘approved by tasya farasya’ lebih dipercaya semua org wkwkwk;0;1;0;11;in;1,24962E+18;1,75721E+18;thanosjahat;https://twitter.com/thanosjahat/status/1757581216449241165
Wed Feb 14 01:30:00 +0000 2024;1,75758E+18;@ohmybeautybank inii wanginya enak dan tasya farasya approvedd👍🏻 https://t.co/MS1kNTpSvn;0;0;0;0;in;1,12123E+18;1,75746E+18;dapausssshf;https://twitter.com/dapausssshf/status/1757577902030483630
Tue Feb 13 22:41:45 +0000 2024;1,75754E+18;Lebih percaya kata influencer ketimbang ahli yg jam terbangnya tinggi aja udah aneh. Ini bukan milih produk keranjang kuning hey, sesimpel Tasya Farasya approved terus anda auto percaya, nurut, dan ngikut.;0;1;0;0;in;299509950;1,75754E+18;xolovelyanita;https://twitter.com/xolovelyanita/status/1757535561299239362
Tue Feb 13 19:57:54 +0000 2024;1,75749E+18;First thing first! Gak bosen bosen mention micro scrub yang bikin ketek jadi smooth dan berasa dakinya keangkat, gak instant glowing sih tapi berasa cerahannya. Underarm approve by Tasya Farasya waktu doi lagi hamil 🤰  https://t.co/LvSw0Bdjpj https://t.co/fyw9xDbfw1;0;0;0;0;in;1,52598E+18;1,75749E+18;abradacadumpie;https://twitter.com/abradacadumpie/status/1757494326173761697
Tue Feb 13 19:57:10 +0000 2024;1,75749E+18;First thing first! Gak bosen bosen mention micro scrub yang bikin ketek jadi smooth dan berasa dakinya keangkat, gak instant glowing sih tapi berasa cerahannya. Underarm approve by Tasya Farasya waktu doi lagi hamil 🤰  https://t.co/LvSw0Bdjpj https://t.co/ZZONToxw7I;0;1;0;0;in;1,52598E+18;1,75519E+18;abradacadumpie;https://twitter.com/abradacadumpie/status/1757494142501101798
Tue Feb 13 15:35:00 +0000 2024;1,75743E+18;/beauty/ liptint yang udah kak tasya farasya approved ni kata nya dupe nya dior versi murah nya;0;0;0;3;in;1,01873E+18;1,75743E+18;beauthingy;https://twitter.com/beauthingy/status/1757428164899553324
Tue Feb 13 11:49:36 +0000 2024;1,75737E+18;@euphonicvm janlup bikin sticker tasya farasya approved  tan👍;0;0;0;0;in;1,43309E+18;1,75736E+18;sourilaand;https://twitter.com/sourilaand/status/1757371442688340296
Tue Feb 13 11:17:52 +0000 2024;1,75736E+18;[Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah   seharga Rp137.000.   Dapatkan sekarang juga di Shopee! https://t.co/lNjNFeCN5B https://t.co/njW1v0ky49;0;0;0;0;in;560404638;1,75736E+18;info_topproduk;https://twitter.com/info_topproduk/status/1757363456515428775
Tue Feb 13 10:13:22 +0000 2024;1,75735E+18;mau review jujur!!! facetology sunscreen is my best sunscreen ever!🌞 tasya farasya approved✅ beneran bikin glowing✅ tone-upnya ga lebay✅ tipe kulitku kombinasi dan bener2 gabikin minyakan sama sekali!!!   #rekomendasisunscreen https://t.co/hbACJJfts9;2;1;0;0;in;1,09668E+18;1,75735E+18;epalapel;https://twitter.com/epalapel/status/1757347224508572046
Tue Feb 13 06:43:56 +0000 2024;1,75729E+18;@salsatrash Ada kalo capres nya Tasya farasya;0;1;0;0;in;1,33008E+18;1,75729E+18;renqvj;https://twitter.com/renqvj/status/1757294519127834937
Tue Feb 13 06:02:41 +0000 2024;1,75728E+18;@guekebetot somethinc lahh tasya farasya approved honest review gwe udh otw 4 jar;0;1;0;0;in;1,35832E+18;1,75726E+18;zauyn;https://twitter.com/zauyn/status/1757284135809483059
Tue Feb 13 04:28:57 +0000 2024;1,75726E+18;@blueeevelvet_ wardah yang silver bagus banget tasya farasya approved;0;0;0;0;in;9,87588E+17;1,75725E+18;sheezidfc;https://twitter.com/sheezidfc/status/1757260546913755288
